"","observed","simpson","shannon","SampleID","Phenotype","Rep","Nutrient","Exposure_weeks","Nutrient_weeks","Nutrient_geno","Nutrient_merged_geno","Tank","T0_merge","NW_T0_merge","Nutrient_order","Nutrient_no_level","Geno_weeks","No_level_no_T0","Level","No_level_weeks","No_level_weeks_noT0","outlier"
"MN-50-3-T2-2",5,0.460418340760221,0.880478199078369,"MN-50-3-T2-2","Susceptible",3,"LN","6","LN6","50_LN","50_N","MN-50-3","LN","LN6",4,"Nitrate","50_6","Nitrate","L","N6","N6","N"
"MA-50-1-T3",27,0.846275598412351,2.6204316541509,"MA-50-1-T3","Susceptible",1,"LA","6","LA6","50_LA","50_A","MA-50-1","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"HN-50-1-T3",26,0.895317408137921,2.76760701077703,"HN-50-1-T3","Susceptible",1,"HN","6","HN6","50_HN","50_N","HN-50-1","HN","HN6",5,"Nitrate","50_6","Nitrate","H","N6","N6","N"
"LA-50-2-T3",21,0.758971112247466,2.1564345628781,"LA-50-2-T3","Susceptible",2,"LA","6","LA6","50_LA","50_A","LA-50-2","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"LA-50-1-T3",11,0.348990673776999,0.855756021543509,"LA-50-1-T3","Susceptible",1,"NT","6","NT6","50_NT","50_NT","LA-50-1","NT","NT6",1,"No Treatment","50_6","No Treatment","0","NT6","NT6","N"
"HN-50-1-T4",20,0.669799758118846,1.80431898450574,"HN-50-1-T4","Susceptible",1,"HN","6","HN6","50_HN","50_N","HN-50-1","HN","HN6",5,"Nitrate","50_6","Nitrate","H","N6","N6","N"
"HA-50-1-T4-2",29,0.767022994943223,2.03303780924084,"HA-50-1-T4-2","Susceptible",1,"HA","6","HA6","50_HA","50_A","HA-50-1","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"MA-50-3-T4",48,0.857428105291353,2.91316853489884,"MA-50-3-T4","Susceptible",3,"LA","6","LA6","50_LA","50_A","MA-50-3","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"MA-50-2-T2",9,0.869197490280111,2.10637210302175,"MA-50-2-T2","Susceptible",2,"LA","6","LA6","50_LA","50_A","MA-50-2","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"MA-50-2-T4",47,0.696633955893215,2.31871396402288,"MA-50-2-T4","Susceptible",2,"LA","6","LA6","50_LA","50_A","MA-50-2","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"MN-50-2-T4",52,0.920349672486425,3.29784104066801,"MN-50-2-T4","Susceptible",2,"LN","6","LN6","50_LN","50_N","MN-50-2","LN","LN6",4,"Nitrate","50_6","Nitrate","L","N6","N6","N"
"HA-50-2-T4",25,0.930349591318252,2.94912253530324,"HA-50-2-T4","Susceptible",2,"HA","6","HA6","50_HA","50_A","HA-50-2","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"LA-50-1-T4",25,0.911064033571156,2.87634253085223,"LA-50-1-T4","Susceptible",1,"NT","6","NT6","50_NT","50_NT","LA-50-1","NT","NT6",1,"No Treatment","50_6","No Treatment","0","NT6","NT6","N"
"HC-50-2-TM",4,0.641098692380744,1.09990657215089,"HC-50-2-TM","Susceptible",2,"HC","3","HC3","50_HC","50_C","HC-50-2","HC","HC3",9,"Combined","50_3","Combined","H","C3","C3","N"
"HC-50-1-TM",7,0.352773110607869,0.782741127312617,"HC-50-1-TM","Susceptible",1,"HC","3","HC3","50_HC","50_C","HC-50-1","HC","HC3",9,"Combined","50_3","Combined","H","C3","C3","N"
"MC-50-1-TM",11,0.631504614410597,1.32613183091265,"MC-50-1-TM","Susceptible",1,"LC","3","LC3","50_LC","50_C","MC-50-1","LC","LC3",8,"Combined","50_3","Combined","L","C3","C3","N"
"MP-50-3-TM",6,0.544930641796739,1.13829403104046,"MP-50-3-TM","Susceptible",3,"LP","3","LP3","50_LP","50_P","MP-50-3","LP","LP3",2,"Phosphate","50_3","Phosphate","L","P3","P3","N"
"LA-50-2-T4",33,0.753484143797534,2.3091963770179,"LA-50-2-T4","Susceptible",2,"LA","6","LA6","50_LA","50_A","LA-50-2","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"LN-50-1-T0",90,0.951437082491214,3.89698214938225,"LN-50-1-T0","Susceptible",1,"NT","0","NT0","50_T0","50_T0","LN-50-1","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"MP-50-1-TM",4,0.729020056655384,1.33790079165489,"MP-50-1-TM","Susceptible",1,"LP","3","LP3","50_LP","50_P","MP-50-1","LP","LP3",2,"Phosphate","50_3","Phosphate","L","P3","P3","N"
"LC-50-2-T0",44,0.734084950609167,2.10682569659035,"LC-50-2-T0","Susceptible",2,"LC","0","LC0","50_T0","50_T0","LC-50-2","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
"HN-50-3-T2",25,0.708143602730497,2.13551792209722,"HN-50-3-T2","Susceptible",3,"HN","6","HN6","50_HN","50_N","HN-50-3","HN","HN6",5,"Nitrate","50_6","Nitrate","H","N6","N6","N"
"HP-50-1-TX",24,0.950300728078506,3.07270669223596,"HP-50-1-TX","Susceptible",1,"HP","6","HP6","50_HP","50_P","HP-50-1","HP","HP6",3,"Phosphate","50_6","Phosphate","H","P6","P6","N"
"HP-50-2-TX",18,0.696390451376206,1.78924488182391,"HP-50-2-TX","Susceptible",2,"HP","6","HP6","50_HP","50_P","HP-50-2","HP","HP6",3,"Phosphate","50_6","Phosphate","H","P6","P6","N"
"HC-50-1-TX",24,0.639394160761682,1.7877362690174,"HC-50-1-TX","Susceptible",1,"HC","6","HC6","50_HC","50_C","HC-50-1","HC","HC6",9,"Combined","50_6","Combined","H","C6","C6","N"
"HC-50-3-TM",5,0.58770626861795,1.13638342781344,"HC-50-3-TM","Susceptible",3,"HC","3","HC3","50_HC","50_C","HC-50-3","HC","HC3",9,"Combined","50_3","Combined","H","C3","C3","N"
"HP-50-3-TM",3,0.603501594954586,1.00863263551579,"HP-50-3-TM","Susceptible",3,"HP","3","HP3","50_HP","50_P","HP-50-3","HP","HP3",3,"Phosphate","50_3","Phosphate","H","P3","P3","N"
"HA-50-1-T2",31,0.856129414533973,2.60586817755848,"HA-50-1-T2","Susceptible",1,"HA","6","HA6","50_HA","50_A","HA-50-1","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"LN-50-2-T3",12,0.470531895033319,1.07266798646775,"LN-50-2-T3","Susceptible",2,"LN","6","LN6","50_LN","50_N","LN-50-2","LN","LN6",4,"Nitrate","50_6","Nitrate","L","N6","N6","N"
"MC-50-2-TM",5,0.448454152157856,0.890197794462508,"MC-50-2-TM","Susceptible",2,"LC","3","LC3","50_LC","50_C","MC-50-2","LC","LC3",8,"Combined","50_3","Combined","L","C3","C3","N"
"MC-50-3-TM",11,0.712542917671123,1.6195307998873,"MC-50-3-TM","Susceptible",3,"LC","3","LC3","50_LC","50_C","MC-50-3","LC","LC3",8,"Combined","50_3","Combined","L","C3","C3","N"
"HP-50-2-TM",19,0.75049715505556,2.1484926927777,"HP-50-2-TM","Susceptible",2,"HP","6","HP6","50_HP","50_P","HP-50-2","HP","HP6",3,"Phosphate","50_6","Phosphate","H","P6","P6","N"
"CTRL-50-4-TM",13,0.749506903353057,1.91439334647567,"CTRL-50-4-TM","Susceptible",4,"NT","3","NT3","50_NT","50_NT","CTRL-50-4","NT","NT3",1,"No Treatment","50_3","No Treatment","0","NT3","NT3","N"
"HC-50-1-TE",8,0.468892297952127,1.02024573830711,"HC-50-1-TE","Susceptible",1,"HC","6","HC6","50_HC","50_C","HC-50-1","HC","HC6",9,"Combined","50_6","Combined","H","C6","C6","N"
"MP-50-2-TE",26,0.813240152271491,2.35640484454901,"MP-50-2-TE","Susceptible",2,"LP","6","LP6","50_LP","50_P","MP-50-2","LP","LP6",2,"Phosphate","50_6","Phosphate","L","P6","P6","N"
